cross_street,direction,lat,lon,municipality,name,phase,source,stage1,stage2,status,stop_id,street,lat_orig,lon_orig,move_distance_m,kept
Glasgow St,,43.44364798,-80.54014902,Kitchener,Westwood Dr at Glasgow St,,GRT,,,Active,12322,Westwood Dr,43.44364798,-80.54014902,0.0,1
King St N,,43.47591006234279,-80.52558379671589,Waterloo,University Ave W at King St N,,GRT,,,Active,10171,University Ave W,43.47603002,-80.52577803,20.580421442439263,1
Phillip St,,43.472227573740824,-80.53578555408897,Waterloo,University Ave W at Phillip St,,GRT,,,Active,13053,University Ave W,43.47219959,-80.53542935,28.911844552866484,1
Fischer-Hallman Rd N,,43.452236909370654,-80.55598013288153,Waterloo,Erb St W at Fischer-Hallman Rd N,,GRT,,,Active,13219,Erb St W,43.452345,-80.554144,148.70221796813257,1
Karn St,,43.445182,-80.51288199,Kitchener,Belmont Ave W at Karn St,,GRT,,,Active,11819,Belmont Ave W,43.445182,-80.51288199,0.0,1
Hickory St W,,43.47788201,-80.53003003,Waterloo,Hazel St at Hickory St W,,GRT,,,Active,10173,Hazel St,43.47788201,-80.53003003,0.0,1
University Ave W,,43.44353004,-80.54469197,Kitchener,Fischer-Hallman Rd at University Ave W,,GRT,,,Active,12228,Fischer-Hallman Rd,43.44353004,-80.54469197,0.0,1
King St S,,43.461083,-80.52189001,Waterloo,William St W at King St S,,GRT,,,Active,12760,William St W,43.461083,-80.52189001,0.0,1
Alexandra Ave,,43.45683999,-80.53090201,Waterloo,Westmount Rd S at Alexandra Ave,,GRT,,,Active,11830,Westmount Rd S,43.45683999,-80.53090201,0.0,1
Westwood Dr,,43.4454969077097,-80.52702865010507,Kitchener,Inwwod Dr at Westwood Dr,,GRT,,,Active,12316,Inwwod Dr,43.4455,-80.52702199,0.6382203842966585,1
Gallarno Crt,,43.44226997,-80.53567497,Kitchener,Westwood Dr at Gallarno Crt,,GRT,,,Active,12332,Westwood Dr,43.44226997,-80.53567497,0.0,1
Hazel St,,43.48007442996248,-80.53153194130384,Waterloo,Columbia St W at Hazel St,,GRT,,,Active,11565,Columbia St W,43.480075,-80.531527,0.4036941562134483,1
Fernwood Pl,,43.44500501,-80.53114704,Kitchener,Westwood Dr at Fernwood Pl,,GRT,,,Active,12333,Westwood Dr,43.44500501,-80.53114704,0.0,1
Belmont Ave W,,43.44301499851725,-80.5119401359922,Kitchener,Victoria St S at Belmont Ave W,,GRT,,,Active,12634,Victoria St S,43.44301243,-80.51193983,0.2866725028562283,1
Glen Forrest Blvd,,43.48568299,-80.55170199,Waterloo,Cedarbrae Ave at Glen Forrest Blvd,,GRT,,,Active,10190,Cedarbrae Ave,43.48568299,-80.55170199,0.0,1
Skylark Rd,,43.4935240590658,-80.55592755941862,Waterloo,Northfield Dr W at Skylark Rd,,GRT,,,Active,10202,Northfield Dr W,43.49352704,-80.55592696,0.3349729923798744,1
Cedar St,,43.537857067022415,-80.55377388987537,Woolwich,King St N at Cedar St,,GRT,,,Active,11140,King St N,43.53785696,-80.55377305,0.06873810139988708,1
Austin Dr,,43.481547531915666,-80.53291434586546,Waterloo,Hazel St at Austin Dr,,GRT,,,Active,10177,Hazel St,43.48154298,-80.53291195,0.5418066435301321,1
Northfield Dr E,,43.5039234478015,-80.52871795686028,Waterloo,Davenport Rd at Northfield Dr E,,GRT,,,Active,10213,Davenport Rd,43.503923,-80.52871796,0.049793898340879925,1
Albert St,,43.4857383144459,-80.5394324045588,Waterloo,Hazel St at Albert St,,GRT,,,Active,10180,Hazel St,43.48573803,-80.53943298,0.05617524819375446,1
Platform 6,,43.474442,-80.539424,Waterloo,University of Waterloo Station at Platform 6,,GRT,,,Active,13735,University of Waterloo Station,43.474442,-80.539424,0.0,1
Stop 3800,,43.498419197551115,-80.52912959894442,Waterloo,Conestoga Station at Stop 3800,,GRT,,,Active,12830,Conestoga Station,43.498417,-80.52913093,0.26690248331019994,1
Chesapeake  Dr,,43.509086032721065,-80.51790645348134,Waterloo,Bridge St W at Chesapeake  Dr,,GRT,,,Active,13205,Bridge St W,43.509083,-80.517908,0.3595478080933552,1
University of Waterloo - Ron Eydt Village,,43.47157699,-80.55538997,Waterloo,Columbia St W at University of Waterloo - Ron Eydt Village,,GRT,,,Active,10102,Columbia St W,43.47157699,-80.55538997,0.0,1
Longwood Dr,,43.49053498,-80.53949698,Waterloo,Albert St at Longwood Dr,,GRT,,,Active,10161,Albert St,43.49053498,-80.53949698,0.0,1
481 Park St,,43.45578699,-80.513562,Kitchener,Park St at 481 Park St,,GRT,,,Active,12306,Park St,43.45578699,-80.513562,0.0,1
Albert St,,43.48572898,-80.53908696,Waterloo,Hazel St at Albert St,,GRT,,,Active,10163,Hazel St,43.48572898,-80.53908696,0.0,1
Conestoga Station,,43.498127,-80.529573,Waterloo,King St N at Conestoga Station,,GRT,,,Active,13785,King St N,43.498127,-80.529573,0.0,1
Regina St N,,43.47666997,-80.52327803,Waterloo,University Ave E at Regina St N,,GRT,,,Active,11842,University Ave E,43.47666997,-80.52327803,0.0,1
Dearborn Blvd,,43.48998004379891,-80.51694801330801,Waterloo,Lexington Rd at Dearborn Blvd,,GRT,,,Active,12763,Lexington Rd,43.48998301,-80.51695004,0.3681255924693325,1
Allen St,,43.460274235185565,-80.5190785671073,Waterloo,King St S at Allen St,,GRT,,,Active,11590,King St S,43.460267,-80.519378,24.180916848200297,1
ION platform - Southbound,,43.481604,-80.545184,Waterloo,Research & Technology Station at ION platform - Southbound,,GRT,,,Active,13377,Research & Technology Station,43.481604,-80.545184,0.0,1
Westforest Trail,,43.431715,-80.543974,Kitchener,Victoria St S at Westforest Trail,,GRT,,,Active,13575,Victoria St S,43.431715,-80.543974,0.0,1
Adelaid St,,43.44503696,-80.51296499,Kitchener,Belmont Ave W at Adelaid St,,GRT,,,Active,11750,Belmont Ave W,43.44503696,-80.51296499,0.0,1
Columbia St W,,43.47511197702752,-80.54644051078166,Waterloo,Hagey Blvd at Columbia St W,,GRT,,,Active,13248,Hagey Blvd,43.475116,-80.546436,0.576705734582712,1
Chopin Dr,,43.44021828487933,-80.52649113519475,Kitchener,Hazelglen Dr at Chopin Dr,,GRT,,,Active,12179,Hazelglen Dr,43.440218,-80.526495,0.31363952494909847,1
Stop 1128,,43.49823292351818,-80.52825435846857,Waterloo,Conestoga Station at Stop 1128,,GRT,,,Active,10133,Conestoga Station,43.49807601,-80.52883004,49.60458328796074,1
Hazel St,,43.47513,-80.52755001,Waterloo,University Ave W at Hazel St,,GRT,,,Active,13009,University Ave W,43.47513,-80.52755001,0.0,1
ION platform - Northbound,,43.464142,-80.523,Waterloo,Waterloo Public Square Station at ION platform - Northbound,,GRT,,,Active,13384,Waterloo Public Square Station,43.464142,-80.523,0.0,1
Dunbar Rd,,43.45052004,-80.52072,Kitchener,Glasgow St at Dunbar Rd,,GRT,,,Active,12339,Glasgow St,43.45052004,-80.52072,0.0,1
Peppler St,,43.468115,-80.52024703,Waterloo,Bridgeport Rd E at Peppler St,,GRT,,,Active,10990,Bridgeport Rd E,43.468115,-80.52024703,0.0,1
Union St W,,43.458271663899104,-80.51523788778579,Waterloo,King St S at Union St W,,GRT,,,Active,11592,King St S,43.45827097,-80.51523804,0.07813006076259503,1
Fischer-Hallman Rd N,,43.46791,-80.565832,Waterloo,Columbia St W at Fischer-Hallman Rd N,,GRT,,,Active,13266,Columbia St W,43.46791,-80.565832,0.0,1
Willis Way,,43.464955129134474,-80.52192170481311,Waterloo,King St N at Willis Way,,GRT,,,Active,10941,King St N,43.464641,-80.522084,37.304596098055235,1
University Ave W,,43.46386296,-80.54061804,Waterloo,Westmount Rd N at University Ave W,,GRT,,,Active,11733,Westmount Rd N,43.46386296,-80.54061804,0.0,1
Columbia St E,,43.481803,-80.52600696,Waterloo,King St N at Columbia St E,,GRT,,,Active,10949,King St N,43.481803,-80.52600696,0.0,1
Davenport Rd,,43.49301926746458,-80.51238202796632,Waterloo,Lexington Rd at Davenport Rd,,GRT,,,Active,11873,Lexington Rd,43.49300503,-80.51238702,1.6335467609362053,1
Allen St,,43.461593472527866,-80.51847969089226,Waterloo,King St S at Allen St,,GRT,,,Active,10938,King St S,43.460277,-80.518881,149.92558358154398,1
Westmount Rd W,,43.43964921670419,-80.52029290329631,Kitchener,Victoria St S at Westmount Rd W,,GRT,,,Active,12280,Victoria St S,43.43964995,-80.52029695,0.3367457951073209,1
344 Glasgow St,,43.45057,-80.520902,Kitchener,Glasgow St at 344 Glasgow St,,GRT,,,Active,12312,Glasgow St,43.45057,-80.520902,0.0,1
Lobsinger Line,,43.515438818131145,-80.55759781503652,Woolwich,King St N at Lobsinger Line,,GRT,,,Active,12868,King St N,43.51543736,-80.55759691,0.1778043226579164,1
Baker St,,43.4375933725059,-80.55871563815867,Waterloo,University Ave W at Baker St,,GRT,,,Active,12943,University Ave W,43.4375933,-80.55871511,0.043399638281913795,1
Park St,,43.45744566113125,-80.51604814930617,Kitchener,Union Blvd at Park St,,GRT,,,Active,12345,Union Blvd,43.457445,-80.51604801,0.07436936260300808,1
580 Kumpf Dr,,43.50127630751862,-80.54289254693191,Waterloo,Kumpf Dr at 580 Kumpf Dr,,GRT,,,Active,13848,Kumpf Dr,43.50127827,-80.54289232,0.2189842478919282,1
Moore Ave,,43.46302826943083,-80.51190771938627,Waterloo,Union St E at Moore Ave,,GRT,,,Active,12301,Union St E,43.46303003,-80.51190795,0.1966491345353644,1
Columbia St W,,43.47956611,-80.53134677,Waterloo,Hazel St at Columbia St W,,GRT,,,Active,10176,Hazel St,43.47956611,-80.53134677,0.0,1
Martin Grove Rd,,43.5102664283016,-80.5429790382908,Woolwich,King St N at Martin Grove Rd,,GRT,,,Active,12754,King St N,43.51027241,-80.54297415,0.7731800413361242,1
King St W,,43.457368735471164,-80.51357608785013,Kitchener,Mount Hope St at King St W,,GRT,,,Active,13792,Mount Hope St,43.45737,-80.513577,0.15871813867484508,1
Kumpf Dr,,43.497816,-80.544335,Waterloo,Northfield Dr W at Kumpf Dr,,GRT,,,Active,13788,Northfield Dr W,43.497816,-80.544335,0.0,1
King St N,,43.501561855855286,-80.53404525824604,Waterloo,Northfield Dr W at King St N,,GRT,,,Active,10136,Northfield Dr W,43.501573,-80.534051,1.322881462967724,1
Hickory St E,,43.47776594678386,-80.5252897898685,Waterloo,King St N at Hickory St E,,GRT,,,Active,10948,King St N,43.47772802,-80.52515698,11.516099167680693,1
Portsmouth Gate,,43.43923767549478,-80.55402616226306,Waterloo,University Ave W at Portsmouth Gate,,GRT,,,Active,12934,University Ave W,43.43923263,-80.55402629,0.5611282083795016,1
Dearborn Pl,,43.48702298,-80.51822699,Waterloo,Lexington Rd at Dearborn Pl,,GRT,,,Active,13012,Lexington Rd,43.48702298,-80.51822699,0.0,1
ION platform - Northbound,,43.468873186162604,-80.53439983354835,Waterloo,Laurier-Waterloo Park Station at ION platform - Northbound,,GRT,,,Active,13382,Laurier-Waterloo Park Station,43.468879,-80.534397,0.6857190292979922,1
Dietz Ave,,43.46068796,-80.53359298,Waterloo,Erb St W at Dietz Ave,,GRT,,,Active,11038,Erb St W,43.46068796,-80.53359298,0.0,1
Warren Rd,,43.431543,-80.51526498,Kitchener,Queens Blvd at Warren Rd,,GRT,,,Active,12410,Queens Blvd,43.431543,-80.51526498,0.0,1
Conrad Pl,,43.50206931,-80.54932319,Waterloo,Randall Dr at Conrad Pl,,GRT,,,Active,13846,Randall Dr,43.50206931,-80.54932319,0.0,1
Beechlawn Dr,,43.46909304,-80.56178501,Waterloo,Columbia St W at Beechlawn Dr,,GRT,,,Active,10122,Columbia St W,43.46909304,-80.56178501,0.0,1
Lifestyle Way,,43.43745002912926,-80.56285393136598,Waterloo,The Boardwalk at Lifestyle Way,,GRT,,,Active,12971,The Boardwalk,43.437633,-80.562984,22.896001012961793,1
Weber St N,,43.47783054617057,-80.52071698421666,Waterloo,University Ave E at Weber St N,,GRT,,,Active,11725,University Ave E,43.47782797,-80.52071802,0.29839976808044655,1
Barrel Yards Blvd,,43.46302432,-80.52861719,Waterloo,Erb St W at Barrel Yards Blvd,,GRT,,,Active,10998,Erb St W,43.46302432,-80.52861719,0.0,1
,Northbound,43.46401197947701,-80.52360690818617,Waterloo,Waterloo Public Square,1.0,ION,LRT,LRT,Constructed,Waterloo Public Square,,43.464149875777245,-80.52299239690531,51.91094497636133,0
,Bi-Directional,43.46753859932098,-80.53412047516149,Waterloo,Laurier - Waterloo Park,1.0,ION,LRT,LRT,Constructed,Laurier - Waterloo Park,,43.4688656767398,-80.53440816102746,149.37943439039535,1
,Southbound,43.462152497715735,-80.52337277157697,Waterloo,Willis Way,1.0,ION,LRT,LRT,Constructed,Willis Way,,43.462152497715735,-80.52337277157697,0.0,1
,Bi-Directional,43.45729196018955,-80.51205994712706,Kitchener,Grand River Hospital,1.0,ION,LRT,LRT,Constructed,Grand River Hospital,,43.45729196018955,-80.51205994712706,0.0,1
,Bi-Directional,43.45984440872096,-80.5183645133394,Waterloo,Allen,1.0,ION,LRT,LRT,Constructed,Allen,,43.45984440872096,-80.5183645133394,0.0,1
,Bi-Directional,43.47324659780303,-80.54116853332651,Waterloo,University of Waterloo,1.0,ION,LRT,LRT,Constructed,University of Waterloo,,43.47324659780303,-80.54116853332651,0.0,1
,Bi-Directional,43.48114456590374,-80.54666889074282,Waterloo,Research and Technology,1.0,ION,LRT,LRT,Constructed,Research and Technology,,43.48163206908413,-80.54516179578839,133.13241784476963,1
,Bi-Directional,43.49721976492402,-80.54321576462178,Waterloo,Northfield,1.0,ION,LRT,LRT,Constructed,Northfield,,43.49721976492402,-80.54321576462178,0.0,1
,Bi-Directional,43.49807911661579,-80.52880848430219,Waterloo,Conestoga,1.0,ION,LRT,LRT,Constructed,Conestoga,,43.49814543225556,-80.52945517248838,52.68080998027874,1
