cross_street,direction,lat,lon,municipality,name,phase,source,stage1,stage2,status,stop_id,street,lat_orig,lon_orig,move_distance_m,kept
Westwood Cres,,43.44513804,-80.52958199,Kitchener,Westwood Dr at Westwood Cres,,GRT,,,Active,12317,Westwood Dr,43.44513804,-80.52958199,0.0,1
Glasglow St,,43.45198053,-80.51720006,Kitchener,Belmont Ave W at Glasglow St,,GRT,,,Active,12954,Belmont Ave W,43.45198053,-80.51720006,0.0,1
Heasley Park Trail,,43.4879488,-80.55008486,Waterloo,Cedarbrae Ave at Heasley Park Trail,,GRT,,,Active,10155,Cedarbrae Ave,43.4879488,-80.55008486,0.0,1
Chopin Dr,,43.43862699,-80.52419501,Kitchener,Hazelglen Dr at Chopin Dr,,GRT,,,Active,12186,Hazelglen Dr,43.43862699,-80.52419501,0.0,1
Sanford Fleming Dr,,43.45695702,-80.56489695,Waterloo,Keats Way at Sanford Fleming Dr,,GRT,,,Active,11012,Keats Way,43.45695702,-80.56489695,0.0,1
Union Blvd,,43.45251964,-80.52578763,Kitchener,Westmount Rd W at Union Blvd,,GRT,,,Active,12984,Westmount Rd W,43.45251964,-80.52578763,0.0,1
Eden Valley Cres,,43.44586301,-80.56014004,Waterloo,Westvale Dr at Eden Valley Cres,,GRT,,,Active,11026,Westvale Dr,43.44586301,-80.56014004,0.0,1
Stop 4001,,43.43538725416583,-80.56035326762206,Kitchener,The Boardwalk Station at Stop 4001,,GRT,,,Active,13178,The Boardwalk Station,43.435392,-80.560344,0.9156657681587372,1
ION platform - Southbound,,43.49831224665983,-80.52942480404853,Waterloo,Conestoga Station at ION platform - Southbound,,GRT,,,Active,13373,Conestoga Station,43.498309,-80.529428,0.44360276629412565,1
University of Waterloo - B.C. Matthews Hall,,43.473934238419815,-80.5462276514548,Waterloo,Ring Rd at University of Waterloo - B.C. Matthews Hall,,GRT,,,Active,11572,Ring Rd,43.47393197,-80.54622695,0.25850960080165963,1
Midwood Cres,,43.45787299,-80.55446003,Waterloo,Keats Way at Midwood Cres,,GRT,,,Active,12209,Keats Way,43.45787299,-80.55446003,0.0,1
Benjamin Rd,,43.5099532183081,-80.55574047121794,Woolwich,Farmers Market Rd at Benjamin Rd,,GRT,,,Active,12864,Farmers Market Rd,43.509883,-80.55580002,9.166549662318353,1
Ezra Ave,,43.47171889543889,-80.524007695275,Waterloo,King St N at Ezra Ave,,GRT,,,Active,13026,King St N,43.4723138,-80.52427451,69.5661008849748,1
University of Waterloo - Quantum Nano Centre,,43.470719,-80.54447,Waterloo,Ring Rd at University of Waterloo - Quantum Nano Centre,,GRT,,,Active,13583,Ring Rd,43.470719,-80.54447,0.0,1
Weber St N,,43.469836158363506,-80.51365020820022,Waterloo,Bridgeport Rd E at Weber St N,,GRT,,,Active,10988,Bridgeport Rd E,43.46983704,-80.51364997,0.0999002822684351,1
Davenport Rd,,43.50528602,-80.529518,Waterloo,Frobisher Dr at Davenport Rd,,GRT,,,Active,11106,Frobisher Dr,43.50528602,-80.529518,0.0,1
Conestogo Rd W,,43.500188,-80.536994,Waterloo,Northfield Dr W at Conestogo Rd W,,GRT,,,Active,10207,Northfield Dr W,43.500188,-80.536994,0.0,1
Westmount Rd N,,43.46449857,-80.54145644,Waterloo,University Ave W at Westmount Rd N,,GRT,,,Active,12659,University Ave W,43.46449857,-80.54145644,0.0,1
King St N,,43.47456834619529,-80.52479016738883,Waterloo,University Ave W at King St N,,GRT,,,Active,11841,University Ave W,43.47582701,-80.52545,149.74226154933524,1
300 Erb St W,,43.4565068022412,-80.54235289001554,Waterloo,Erb St W at 300 Erb St W,,GRT,,,Active,11004,Erb St W,43.45651399,-80.54235897,0.9378837728940576,1
Alice Ave,,43.44182802,-80.51525695,Kitchener,Victoria St S at Alice Ave,,GRT,,,Active,12175,Victoria St S,43.44182802,-80.51525695,0.0,1
Highland Rd,,43.43616592,-80.51459317,Kitchener,Westmount Rd W at Highland Rd,,GRT,,,Active,12979,Westmount Rd W,43.43616592,-80.51459317,0.0,1
Douglas St,,43.45565987927784,-80.52908322546008,Waterloo,Westmount Rd S at Douglas St,,GRT,,,Active,12993,Westmount Rd S,43.45566227,-80.52908588,0.34143694091185905,1
Thorndale Dr,,43.44243316129394,-80.56564328823575,Waterloo,Ira Needles Blvd at Thorndale Dr,,GRT,,,Active,12973,Ira Needles Blvd,43.442434,-80.565642,0.13969445006957373,1
