source,stop_id,name,street,cross_street,municipality,status,lon,lat
GRT,10837,Strasburg Rd at McIntyre Dr,Strasburg Rd,McIntyre Dr,Kitchener,Active,-80.47343504,43.40418196
GRT,12393,Highview Dr at Sugar Maple St,Highview Dr,Sugar Maple St,Kitchener,Active,-80.54720997,43.41567503
GRT,13335,Sportsworld Station at Stop 1572,Sportsworld Station,Stop 1572,Kitchener,Active,-80.392578,43.410186
GRT,11658,Fourth Ave at Kingsway Dr,Fourth Ave,Kingsway Dr,Kitchener,Active,-80.45261002,43.43442501
GRT,12061,Max Becker Dr at Fischer-Hallman Rd,Max Becker Dr,Fischer-Hallman Rd,Kitchener,Active,-80.500088,43.405721
GRT,10065,Oldfield Dr at Springmount Dr,Oldfield Dr,Springmount Dr,Kitchener,Active,-80.42687699,43.44887503
GRT,12592,Laurel St at North St,Laurel St,North St,Cambridge,Active,-80.35474499,43.40107556
GRT,13799,Charles St E at Stirling Ave S,Charles St E,Stirling Ave S,Kitchener,Active,-80.478414,43.443929
GRT,12665,New Bedford Dr at Eastbridge Blvd,New Bedford Dr,Eastbridge Blvd,Waterloo,Active,-80.50092,43.51108
GRT,12844,Arthur St S at Oriole Pky,Arthur St S,Oriole Pky,Woolwich,Active,-80.56143295,43.58905004
GRT,10619,King St E at Bishop St,King St E,Bishop St,Cambridge,Active,-80.34661801,43.38979002
GRT,10227,Northland Rd at Bathurst Dr,Northland Rd,Bathurst Dr,Waterloo,Active,-80.53561797,43.50587703
GRT,11978,Charles St E at Cedar St,Charles St E,Cedar St,Kitchener,Active,-80.48361998,43.44643
GRT,10680,Morrison Rd at Morrison Park,Morrison Rd,Morrison Park,Kitchener,Active,-80.41637202,43.42999002
GRT,12715,Keats Way at Keatswood Cres,Keats Way,Keatswood Cres,Waterloo,Active,-80.57321503,43.45581795
GRT,10549,Ainslie Terminal at Stop 1521,Ainslie Terminal,Stop 1521,Cambridge,Active,-80.31319398,43.35701699
GRT,10164,Hazel St at Tamarack Dr,Hazel St,Tamarack Dr,Waterloo,Active,-80.53664656,43.48496122
